name,model,manufacturer,cost_in_credits,length,max_atmosphering_speed,crew,passengers,cargo_capacity,consumables,vehicle_class,created,edited,url,desc
Sith speeder,FC-20 speeder bike,Razalon,4000,1.5,180,1,0,2,,speeder,2014-12-20T10:09:56.095000Z,2014-12-22T18:21:16.095041Z,http://swapi.co/api/vehicles/42/,
Zephyr-G swoop bike,Zephyr-G swoop bike,Mobquet Swoops and Speeders,5750,3.68,350,1,1,200,none,repulsorcraft,2014-12-20T16:24:16.026000Z,2014-12-22T18:21:16.117652Z,http://swapi.co/api/vehicles/44/,
Koro-2 Exodrive airspeeder,Koro-2 Exodrive airspeeder,Desler Gizh Outworld Mobility Corporation,,6.6,800,1,1,80,,airspeeder,2014-12-20T17:17:33.526000Z,2014-12-22T18:21:16.140018Z,http://swapi.co/api/vehicles/45/,
XJ-6 airspeeder,XJ-6 airspeeder,Narglatch AirTech prefabricated kit,,6.23,720,1,1,,,airspeeder,2014-12-20T17:19:19.991000Z,2014-12-22T18:21:16.150194Z,http://swapi.co/api/vehicles/46/,
LAAT/i,Low Altitude Assault Transport/infrantry,Rothana Heavy Engineering,,17.4,620,6,30,170,,gunship,2014-12-20T18:01:21.014000Z,2014-12-22T18:21:16.181363Z,http://swapi.co/api/vehicles/50/,
LAAT/c,Low Altitude Assault Transport/carrier,Rothana Heavy Engineering,,28.82,620,1,0,40000,,gunship,2014-12-20T18:02:46.802000Z,2014-12-22T18:21:16.229733Z,http://swapi.co/api/vehicles/51/,
Tsmeu-6 personal wheel bike,Tsmeu-6 personal wheel bike,Z-Gomot Ternbuell Guppat Corporation,15000,3.5,330,1,1,10,none,wheeled walker,2014-12-20T19:43:54.870000Z,2014-12-22T18:21:16.422662Z,http://swapi.co/api/vehicles/60/,
Emergency Firespeeder,Fire suppression speeder,,,,,2,,,,fire suppression ship,2014-12-20T19:50:58.559000Z,2014-12-22T18:21:16.450655Z,http://swapi.co/api/vehicles/62/,
Droid tri-fighter,tri-fighter,"Colla Designs, Phlac-Arphocc Automata Industries",20000,5.4,1180,1,0,0,none,droid starfighter,2014-12-20T20:05:19.992000Z,2014-12-22T18:21:16.478901Z,http://swapi.co/api/vehicles/67/,
Oevvaor jet catamaran,Oevvaor jet catamaran,Appazanna Engineering Works,12125,15.1,420,2,2,50,3 days,airspeeder,2014-12-20T20:20:53.931000Z,2014-12-22T18:21:16.517049Z,http://swapi.co/api/vehicles/69/,
Raddaugh Gnasp fluttercraft,Raddaugh Gnasp fluttercraft,Appazanna Engineering Works,14750,7,310,2,0,20,none,air speeder,2014-12-20T20:21:55.648000Z,2014-12-22T18:21:16.547708Z,http://swapi.co/api/vehicles/70/,
Clone turbo tank,HAVw A6 Juggernaut,Kuat Drive Yards,350000,49.4,160,20,300,30000,20 days,wheeled walker,2014-12-20T20:24:45.587000Z,2014-12-22T18:21:16.571079Z,http://swapi.co/api/vehicles/71/,
Corporate Alliance tank droid,NR-N99 Persuader-class droid enforcer,Techno Union,49000,10.96,100,0,4,none,none,droid tank,2014-12-20T20:26:55.522000Z,2014-12-22T18:21:16.612902Z,http://swapi.co/api/vehicles/72/,
Droid gunship,HMP droid gunship,"Baktoid Fleet Ordnance, Haor Chall Engineering",60000,12.3,820,0,0,0,none,airspeeder,2014-12-20T20:32:05.687000Z,2014-12-22T18:21:16.643329Z,http://swapi.co/api/vehicles/73/,
AT-RT,All Terrain Recon Transport,Kuat Drive Yards,40000,3.2,90,1,0,20,1 day,walker,2014-12-20T20:47:49.189000Z,2014-12-22T18:21:16.672821Z,http://swapi.co/api/vehicles/76/,"Walkers are vehicles from the Star Wars universe that traverse the landscape on mechanical legs. They are used by the Old Republic and the Galactic Empire for ground assault or transport. Throughout the saga, walkers have played a pivotal role in the fate of characters and the outcome of battles. Industrial Light and Magic (ILM) is responsible for their animation and design, often using models, stop-motion animation, and relevant matte paintings to depict their presence in the films.

There are a variety of walkers: The Empire Strikes Back introduces the All Terrain Armored Transport (AT-AT) and All Terrain Scout Transport (AT-ST). Star Wars: Episode II – Attack of the Clones and Star Wars: Episode III – Revenge of the Sith introduced earlier models of walkers, such as the AT-TE, and the Star Wars expanded universe features numerous others. Walker variants have been merchandised and featured in popular culture."
AT-TE,All Terrain Tactical Enforcer,"Rothana Heavy Engineering, Kuat Drive Yards",,13.2,60,6,36,10000,21 days,walker,2014-12-20T18:10:07.560000Z,2014-12-22T18:21:16.293771Z,http://swapi.co/api/vehicles/53/,"Walkers are vehicles from the Star Wars universe that traverse the landscape on mechanical legs. They are used by the Old Republic and the Galactic Empire for ground assault or transport. Throughout the saga, walkers have played a pivotal role in the fate of characters and the outcome of battles. Industrial Light and Magic (ILM) is responsible for their animation and design, often using models, stop-motion animation, and relevant matte paintings to depict their presence in the films.

There are a variety of walkers: The Empire Strikes Back introduces the All Terrain Armored Transport (AT-AT) and All Terrain Scout Transport (AT-ST). Star Wars: Episode II – Attack of the Clones and Star Wars: Episode III – Revenge of the Sith introduced earlier models of walkers, such as the AT-TE, and the Star Wars expanded universe features numerous others. Walker variants have been merchandised and featured in popular culture."
SPHA,Self-Propelled Heavy Artillery,Rothana Heavy Engineering,,140,35,25,30,500,7 days,walker,2014-12-20T18:12:32.315000Z,2014-12-22T18:21:16.311761Z,http://swapi.co/api/vehicles/54/,
Flitknot speeder,Flitknot speeder,Huppla Pasa Tisc Shipwrights Collective,8000,2,634,1,0,,,speeder,2014-12-20T18:15:20.312000Z,2014-12-22T18:21:16.335005Z,http://swapi.co/api/vehicles/55/,
Neimoidian shuttle,Sheathipede-class transport shuttle,Haor Chall Engineering,,20,880,2,6,1000,7 days,transport,2014-12-20T18:25:44.912000Z,2014-12-22T18:21:16.366134Z,http://swapi.co/api/vehicles/56/,
Geonosian starfighter,Nantex-class territorial defense,Huppla Pasa Tisc Shipwrights Collective,,9.8,20000,1,0,,,starfighter,2014-12-20T18:34:12.541000Z,2014-12-22T18:21:16.390980Z,http://swapi.co/api/vehicles/57/,
